Variables = "X" "Y" "Z" "U" "V" "W" "MC" "GC" 
ZONE F=FEPOINT,ET=TRIANGLE,N=9002,E=18000SOLUTIONTIME=0 
-2.629376153E-01 -5.761722136E-01 -8.487739109E-01 -4.530863189E-01 -4.905244716E-01 -7.443779486E-01  1.704202058E+00  2.659101675E+00 
-2.902013121E-01 -5.422173562E-01 -8.520044252E-01 -4.943185126E-01 -4.172572288E-01 -7.625913802E-01  1.607305749E+00  2.326557256E+00 
-3.005314973E-01 -5.756548963E-01 -8.246316358E-01 -4.951685260E-01 -4.892926044E-01 -7.179142554E-01  1.604842926E+00  2.230856502E+00 
-2.521346316E-01 -5.420913455E-01 -8.752912411E-01 -4.485020884E-01 -4.179414880E-01 -7.900448021E-01  1.704853808E+00  2.737531188E+00 
-2.726805756E-01 -6.078192816E-01 -8.194893674E-01 -4.529882229E-01 -5.602503427E-01 -6.934848401E-01  1.679439499E+00  2.505652495E+00 
-3.275746709E-01 -5.411687814E-01 -8.269119114E-01 -5.317458254E-01 -4.160776366E-01 -7.376488172E-01  1.504404513E+00  1.897294024E+00 
-2.247564908E-01 -5.753602886E-01 -8.709460799E-01 -4.031051036E-01 -4.904636037E-01 -7.726265132E-01  1.796659974E+00  3.063470880E+00 
-2.350441191E-01 -6.077096640E-01 -8.425717924E-01 -4.070916133E-01 -5.610944175E-01 -7.207284323E-01  1.774505110E+00  2.923321787E+00 
-2.787722921E-01 -5.066440524E-01 -8.764886183E-01 -4.888395857E-01 -3.446035964E-01 -8.014263664E-01  1.587899083E+00  2.353993649E+00 
-3.165343436E-01 -5.061816323E-01 -8.521931534E-01 -5.296227330E-01 -3.436120020E-01 -7.755195373E-01  1.485854434E+00  1.946064506E+00 
-3.096702483E-01 -6.066353045E-01 -7.947039280E-01 -4.911944390E-01 -5.582668060E-01 -6.686300894E-01  1.578672416E+00  2.072567060E+00 
-3.373837257E-01 -5.739914779E-01 -7.989361297E-01 -5.291085290E-01 -4.876828884E-01 -6.944131082E-01  1.501218593E+00  1.792419081E+00 
-2.135593515E-01 -5.406330748E-01 -8.963582796E-01 -3.947086099E-01 -4.172207720E-01 -8.186158688E-01  1.794326882E+00  3.117358702E+00 
-2.403829490E-01 -5.059324073E-01 -8.987413949E-01 -4.395390504E-01 -3.449925163E-01 -8.293283951E-01  1.683540249E+00  2.737179129E+00 
-2.443345327E-01 -6.373928853E-01 -8.116195096E-01 -4.065650021E-01 -6.268824142E-01 -6.646227034E-01  1.727447137E+00  2.707093782E+00 
-3.535310381E-01 -5.047257002E-01 -8.263140841E-01 -5.616953018E-01 -3.429451570E-01 -7.529189911E-01  1.380173131E+00  1.525049247E+00 
-2.812983702E-01 -6.367835059E-01 -7.878542827E-01 -4.482440682E-01 -6.249826906E-01 -6.391196224E-01  1.630454378E+00  2.288597057E+00 
-1.969496205E-01 -6.061486046E-01 -8.635779726E-01 -3.539269647E-01 -5.599295887E-01 -7.491425494E-01  1.861517229E+00  3.311925780E+00 
-3.641448018E-01 -5.391486104E-01 -8.004677341E-01 -5.607450329E-01 -4.153220542E-01 -7.162908622E-01  1.398953411E+00  1.463133562E+00 
-3.043884078E-01 -4.694117273E-01 -8.745445765E-01 -5.231769252E-01 -2.728398734E-01 -8.073687562E-01  1.448728104E+00  1.937099523E+00 
-1.862080834E-01 -5.730895528E-01 -8.907847858E-01 -3.458233209E-01 -4.882575690E-01 -8.012557501E-01  1.880015412E+00  3.431980462E+00 
-2.068417723E-01 -6.365935175E-01 -8.335840597E-01 -3.577920933E-01 -6.269719146E-01 -6.920195346E-01  1.817340835E+00  3.103785297E+00 
